"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.54778480530E+01   6.25000000000E+01  Obs_0       
   2.49277305603E+01   1.58000001907E+01  Obs_1       
   1.22394552231E+01   1.20000004768E+00  Obs_2       
   1.29263572693E+01   7.30000019073E+00  Obs_3       
   1.58859453201E+01   7.30000019073E+00  Obs_4       
   1.75909385681E+01   1.05000000000E+01  Obs_5       
   1.72737350464E+01   9.44999980927E+00  Obs_6       
   1.88440837860E+01   1.45500001907E+01  Obs_7       
   2.01790351868E+01   2.02999992371E+01  Obs_8       
   7.02380657196E+00   1.20000004768E+00  Obs_9       
   7.25386285782E+00   3.00000000000E+00  Obs_10      
   8.98974800110E+00   6.65000009537E+00  Obs_11      
   9.58922863007E+00   2.70000004768E+00  Obs_12      
   1.97927367687E+00   6.09999990463E+00  Obs_13      
   2.09808930755E-01   1.00000001490E-01  Obs_14      
   5.69466400146E+00   8.10000038147E+00  Obs_15      
   6.15866374969E+00   8.19999980927E+00  Obs_16      
   3.94095110893E+00   5.59999990463E+00  Obs_17      
   3.63774538040E+00   5.50000000000E+00  Obs_18      
   4.64723539352E+00   4.90000009537E+00  Obs_19      
   6.88895463943E+00   6.00000000000E+00  Obs_20      
   9.50567531586E+00   7.30000019073E+00  Obs_21      
