"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   6.07702674866E+01   6.25000000000E+01  Obs_0       
   2.20573596954E+01   1.58000001907E+01  Obs_1       
   8.24319934845E+00   1.20000004768E+00  Obs_2       
   8.48333168030E+00   7.30000019073E+00  Obs_3       
   1.00225563049E+01   7.30000019073E+00  Obs_4       
   1.02580022812E+01   1.05000000000E+01  Obs_5       
   1.04917621613E+01   8.19999980927E+00  Obs_6       
   1.02804622650E+01   1.06999998093E+01  Obs_7       
   1.12646675110E+01   1.45500001907E+01  Obs_8       
   1.19546394348E+01   2.02999992371E+01  Obs_9       
   5.03654003143E+00   1.20000004768E+00  Obs_10      
   4.51830530167E+00   3.00000000000E+00  Obs_11      
   5.22873449326E+00   6.90000009537E+00  Obs_12      
   5.96425151825E+00   6.40000009537E+00  Obs_13      
   4.01472187042E+00   2.70000004768E+00  Obs_14      
   8.91925394535E-01   6.09999990463E+00  Obs_15      
   1.21723704040E-01   1.00000001490E-01  Obs_16      
   6.04154062271E+00   8.10000038147E+00  Obs_17      
   6.63439178467E+00   8.19999980927E+00  Obs_18      
   5.85009622574E+00   5.09999990463E+00  Obs_19      
   6.28247594833E+00   6.09999990463E+00  Obs_20      
   5.99557352066E+00   5.50000000000E+00  Obs_21      
   6.81141853333E+00   4.90000009537E+00  Obs_22      
   9.80382442474E+00   6.00000000000E+00  Obs_23      
   9.73767280579E+00   7.30000019073E+00  Obs_24      
