"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   6.06194190979E+01   6.25000000000E+01  Obs_0       
   2.20394763947E+01   1.58000001907E+01  Obs_1       
   8.21666526794E+00   1.20000004768E+00  Obs_2       
   8.45330047607E+00   7.30000019073E+00  Obs_3       
   9.98263549805E+00   7.30000019073E+00  Obs_4       
   1.02155971527E+01   1.05000000000E+01  Obs_5       
   1.04468469620E+01   8.19999980927E+00  Obs_6       
   1.02359609604E+01   1.06999998093E+01  Obs_7       
   1.12134132385E+01   1.45500001907E+01  Obs_8       
   1.18975629807E+01   2.02999992371E+01  Obs_9       
   5.02323865891E+00   1.20000004768E+00  Obs_10      
   4.50242137909E+00   3.00000000000E+00  Obs_11      
   5.22034931183E+00   6.90000009537E+00  Obs_12      
   5.95833683014E+00   6.40000009537E+00  Obs_13      
   4.19535350800E+00   2.70000004768E+00  Obs_14      
   9.25409018993E-01   6.09999990463E+00  Obs_15      
   1.22516982257E-01   1.00000001490E-01  Obs_16      
   6.02304363251E+00   8.10000038147E+00  Obs_17      
   6.62732028961E+00   8.19999980927E+00  Obs_18      
   6.05142164230E+00   5.09999990463E+00  Obs_19      
   6.50628232956E+00   6.09999990463E+00  Obs_20      
   6.23237848282E+00   5.50000000000E+00  Obs_21      
   7.04791975021E+00   4.90000009537E+00  Obs_22      
   9.80163669586E+00   6.00000000000E+00  Obs_23      
   9.73632240295E+00   7.30000019073E+00  Obs_24      
