"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.22786922455E+01   6.25000000000E+01  Obs_0       
   2.25549850464E+01   1.58000001907E+01  Obs_1       
   6.78058719635E+00   1.20000004768E+00  Obs_2       
   8.38329601288E+00   7.30000019073E+00  Obs_3       
   1.06706485748E+01   7.30000019073E+00  Obs_4       
   1.12020711899E+01   1.05000000000E+01  Obs_5       
   1.18896121979E+01   8.19999980927E+00  Obs_6       
   1.51115674973E+01   2.02999992371E+01  Obs_7       
   1.13580598831E+01   1.06999998093E+01  Obs_8       
   1.34280424118E+01   1.45500001907E+01  Obs_9       
   3.81165456772E+00   1.20000004768E+00  Obs_10      
   2.28575110435E+00   3.00000000000E+00  Obs_11      
   1.01556882858E+01   6.40000009537E+00  Obs_12      
   8.85028839111E+00   6.90000009537E+00  Obs_13      
   9.30245494843E+00   2.70000004768E+00  Obs_14      
   2.49333119392E+00   6.09999990463E+00  Obs_15      
   2.08364725113E-01   1.00000001490E-01  Obs_16      
   3.85178565979E+00   8.10000038147E+00  Obs_17      
   4.82651710510E+00   8.19999980927E+00  Obs_18      
   3.29274344444E+00   5.09999990463E+00  Obs_19      
   3.48115181923E+00   6.09999990463E+00  Obs_20      
   3.32092452049E+00   5.50000000000E+00  Obs_21      
   3.88393878937E+00   4.30000019073E+00  Obs_22      
   3.87457156181E+00   5.50000000000E+00  Obs_23      
   5.94904422760E+00   6.00000000000E+00  Obs_24      
   8.45223999023E+00   7.30000019073E+00  Obs_25      
