"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.77950344086E+01   6.25000000000E+01  Obs_0       
   2.30457172394E+01   1.58000001907E+01  Obs_1       
   1.31099262238E+01   1.20000004768E+00  Obs_2       
   1.37331733704E+01   7.30000019073E+00  Obs_3       
   1.66623039246E+01   7.30000019073E+00  Obs_4       
   1.82946052551E+01   1.05000000000E+01  Obs_5       
   1.78376674652E+01   9.44999980927E+00  Obs_6       
   1.94071350098E+01   1.45500001907E+01  Obs_7       
   2.07030792236E+01   2.02999992371E+01  Obs_8       
   7.43841123581E+00   1.20000004768E+00  Obs_9       
   7.25580501556E+00   3.00000000000E+00  Obs_10      
   8.11994552612E+00   6.65000009537E+00  Obs_11      
   5.93452930450E+00   2.70000004768E+00  Obs_12      
   1.37126410007E+00   6.09999990463E+00  Obs_13      
   2.35501646996E-01   1.00000001490E-01  Obs_14      
   8.52484321594E+00   8.10000038147E+00  Obs_15      
   8.43824005127E+00   8.19999980927E+00  Obs_16      
   4.62570762634E+00   5.59999990463E+00  Obs_17      
   4.28288221359E+00   5.50000000000E+00  Obs_18      
   5.43368577957E+00   4.90000009537E+00  Obs_19      
   9.83130550385E+00   6.00000000000E+00  Obs_20      
   9.50567531586E+00   7.30000019073E+00  Obs_21      
