,0,base_Fld_at_1.01_depth.csv
Relevant_Sewer_Lines_core.shp,42315.5045899074,1461.7971693460172
ASPA_water_Distribution_core.shp,44057.93550498824,1627.9228571578751
ASPA_water_Transmission_core.shp,47137.500621334475,1853.3616472042809
Roads_2006_core.shp,76765.56681189116,2929.177708660333
ASPA_CustomerMeters_core.shp,1329.0,21.0
ASPA_water_Boosters_core.shp,5.0,1.0
All_sewer_LiftStations_core.shp,8.0,0.0
