,ASPA_Customer_Meters.shp,Buildings.shp,Roads.shp,Sewer_Lift_Stations.shp,Sewer_Lines.shp,Water_Boosters.shp,Water_Lines.shp,tot_buried_lines
base_Surface,1.0,1.0,65.16813055348,0.0,53.33366692783,0.0,220.02649553556998,273.3601624634
2ft_Surface,1.0,1.0,295.82808889101995,0.0,134.20774334457502,0.0,515.660873177414,649.868616521989
2ft_RCP45_Surface,3.0,3.0,417.04538807099,0.0,241.902982322125,0.0,627.133851454918,869.0368337770431
1ft_Surface,5.0,10.0,1188.82290825052,0.0,585.2922128620671,0.0,1345.327643873149,1930.6198567352162
base_Sub,21.0,49.0,2929.177708660333,0.0,1461.7971693460172,1.0,3481.2845043710563,4943.0816737170735
5ft_Surface,28.0,74.0,3490.473860411503,0.0,1724.858732727739,1.0,4644.244143616754,6369.102876344493
5ft_RCP45_Surface,28.0,76.0,3582.7153345704833,0.0,1789.481353984309,1.0,4764.074017479064,6553.555371463373
2ft_Sub,65.0,157.0,9955.054011022672,0.0,4724.82240076499,1.0,10483.346785544672,15208.169186309662
2ft_RCP45_Sub,70.0,164.0,10863.629792316362,0.0,5104.727645399981,1.0,11204.86648942224,16309.594134822222
1ft_Sub,111.0,247.0,16759.39008687635,2.0,8182.733181475916,1.0,17429.67897253427,25612.412154010188
8ft_Surface,142.0,325.0,21456.164167062587,3.0,9842.756522566002,1.0,23010.84002180397,32853.596544369975
8ft_RCP45_Surface,142.0,326.0,21480.415419536886,3.0,9852.959684748203,1.0,23026.09997174297,32879.05965649117
5ft_Sub,171.0,394.0,26330.978658111104,4.0,11249.513195919691,2.0,27360.625495126053,38610.138691045744
5ft_RCP45_Sub,173.0,405.0,26704.07614550992,4.0,11406.328491041251,2.0,27751.431404497,39157.75989553826
8ft_Sub,268.0,566.0,34214.20639116486,7.0,13761.005106608456,3.0,37514.565305259166,51275.57041186762
8ft_RCP45_Sub,268.0,569.0,34339.20218735492,7.0,13791.799940834026,4.0,37698.79541113587,51490.595351969896
Total_Lengths,1329.0,2398.0,76765.56681189116,8.0,42315.5045899074,5.0,91195.43612632273,133510.94071623014
